Year,HomeTeam,AwayTeam,Diff
07,23,18,-3
07,2,12,3
07,14,4,3
07,22,9,1
07,19,24,1
07,7,0,0
07,15,17,-1
07,6,22,-1
07,9,8,0
07,12,16,-2
07,25,18,0
07,23,5,0
07,4,2,-1
07,21,14,-1
07,0,19,-1
07,6,16,-1
07,2,21,-1
07,16,25,3
07,17,4,3
07,8,6,-2
07,24,12,0
07,14,23,2
07,22,7,0
07,0,15,0
07,5,9,2
07,18,19,1
07,4,25,1
07,5,22,1
07,7,12,0
07,15,19,3
07,17,2,3
07,9,6,-1
07,23,16,-1
07,21,8,2
07,14,24,1
07,0,18,0
07,18,7,3
07,6,5,0
07,19,21,-1
07,2,0,-1
07,16,14,1
07,8,23,3
07,12,17,1
07,24,15,-1
07,25,9,-1
07,22,4,-2
07,0,22,0
07,4,18,0
07,5,24,0
07,7,6,-2
07,9,19,0
07,23,12,2
07,19,4,1
07,6,15,0
07,8,0,-2
07,12,9,1
07,24,7,1
07,25,21,3
07,18,5,1
07,22,14,0
07,19,6,2
07,17,25,2
07,2,23,2
07,15,8,2
07,21,16,-3
07,4,24,-2
07,5,25,0
07,7,2,0
07,15,22,2
07,17,8,0
07,14,19,0
07,23,6,0
07,21,18,1
07,0,12,0
07,9,16,0
07,2,5,3
07,16,4,0
07,18,17,-2
07,6,0,-2
07,8,14,-1
07,12,15,1
07,25,23,1
07,22,21,-3
07,19,7,2
07,24,9,1
07,0,25,3
07,18,12,3
07,7,15,1
07,6,17,-1
07,9,2,-2
07,24,23,-2
07,21,4,2
07,22,8,-1
07,19,16,0
07,5,14,-2
07,16,17,0
07,14,2,0
07,2,24,0
07,4,0,0
07,16,18,0
07,15,5,0
07,17,21,-1
07,8,7,2
07,12,19,0
07,25,22,-1
07,14,6,1
07,23,9,0
08,0,15,-1
08,4,9,-2
08,26,12,0
08,18,22,1
08,8,2,-1
08,20,14,1
08,21,6,-2
08,19,7,1
08,16,13,1
08,17,24,0
08,14,18,-2
08,13,20,0
08,7,4,1
08,6,26,1
08,12,17,0
08,24,16,-1
08,22,8,1
08,13,21,-1
08,7,8,-1
08,9,0,0
08,12,4,2
08,24,18,1
08,14,26,4
08,22,20,3
08,2,19,0
08,15,16,0
08,6,17,1
08,19,6,1
08,0,7,1
08,4,24,3
08,16,12,1
08,26,13,-1
08,18,2,0
08,20,15,-2
08,21,22,0
08,17,14,1
08,8,9,0
08,4,18,-1
08,7,14,0
08,15,26,6
08,17,20,1
08,8,13,2
08,9,22,1
